age_group | category | category_l1 | category_l2 | category_l3 | count
Không xác định | Khăn ướt gia dụng Läupro | Vệ sinh | Khăn ướt | Khăn ướt gia dụng | 2
0-4Y | Tắm gội thảo dược Diệp An Nhi | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Tắm gội cho bé | 1
Không xác định | Elle & Vire | Thực phẩm cho bé | TP từ sữa (bảo quản lạnh) | Váng sữa | 1
1Y-2Y | Dielac Step 3 | Sữa | Vinamilk | Dielac | 1
Không xác định | CJ Food | Thực phẩm cho gia đình | Thực phẩm đông lạnh | Há cảo | 3
Không xác định | Pigeon | Thực phẩm cho bé | Đồ uống | Nước ép trái cây cho bé | 1
Không xác định | Tearoma | Thực phẩm cho gia đình | Trà & Cà phê | Trà | 5
Không xác định | Nước rửa tay Titione | Hóa mỹ phẩm gia đình | Chăm sóc cơ thể | Nước rửa tay | 2
Không xác định | Áo sơ sinh Animo Easy | Thời trang | Quần áo & Phụ kiện sơ sinh | Áo | 8
Không xác định | Phụ kiện cũ khác | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 1
Từ 9M | Pigeon | Thực phẩm cho bé | Snack ăn dặm | Bánh quy | 3
Không xác định | Kem đánh răng P/S | Hóa mỹ phẩm gia đình | Chăm sóc răng miệng | Kem đánh răng | 4
Không xác định | Bubs Full Cream | Sữa | Bubs | Bubs Full Cream | 1
0-12M | Colosbaby IQ Gold Step 1 | Sữa | Vitadairy | Colosbaby IQ Gold | 1
Từ 0M | Mùng cho bé Animo | Textile | Đồ dùng bé ngủ ngon | Mùng cho bé | 3
Không xác định | Ella's Kitchen | Thực phẩm cho bé | Thức ăn nghiền cho bé | Trái cây nghiền | 2
Từ 4M | Hipp | Thực phẩm cho bé | Thức ăn nghiền cho bé | Rau củ nghiền | 2
Không xác định | Haagen Dazs | Thực phẩm cho gia đình | Thực phẩm đông lạnh | Kem | 4
Không xác định | Apaman | Thực phẩm cho bé | Mì & Đồ khô ăn liền | Mì & Miến ăn liền | 4
Từ 2Y | Lắp ráp/Xếp hình | Đồ chơi & Sách | 1Y+ | Học tập và phát triển tư duy | 1
Không xác định | Enspire Thái Step 1 | Sữa | Enfa | Enspire Thai | 1
Không xác định | Enfa C-sec Step 3 | Sữa | Enfa | Enfa C-sec | 1
2Y-3Y | Bộ bé gái Animo | Thời trang | Thời trang bé gái | Bộ bé gái | 43
Từ 1Y | Height Boosting | Sữa nước | Sữa bột pha sẵn | Nutifood | 2
5Y-6Y | Đầm | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 6
3M-6M | Bộ Modal lẻ | Thời trang | Modal kháng khuẩn | Bộ Modal | 101
Không xác định | Dung dịch vệ sinh cho bé Saforelle | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Dung dịch vệ sinh cho bé | 1
Không xác định | Ghế rung xích đu Fitch Baby | Babycare | Bé ngủ | Xe nhún / Ghế bập bênh | 2
Từ 1Y | Xe tập đi/Bàn chơi đa năng | Đồ chơi & Sách | 1Y+ | Vận động trong nhà | 1
Không xác định | Momby | Thực phẩm cho bé | Dầu ăn & Gia vị | Nước mắm | 1
Không xác định | Ivenet | Thực phẩm cho bé | Đồ uống | Nước ép trái cây cho bé | 4
Không xác định | Purelac Step 2 | Sữa | Purelac | Purelac | 1
9Y-10Y | Quần lót cho bé | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 1
9M-12M | 0-3Y Bộ đông bé trai dài | Thời trang | Thời trang đông | Bộ đông | 5
Không xác định | Băng vệ sinh UUCare | Vệ sinh | Băng vệ sinh | Băng vệ sinh thường | 3
7Y-8Y | Áo bé gái | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 9
Không xác định | Xe đẩy ngừng bán | Babycare | Đồ dùng ra ngoài | Đồ dùng ra ngoài ngừng bán | 7
Không xác định | DHC | TPCN | TPCN cho mẹ | Collagen | 1
Không xác định | Yếm cho bé | Babycare | Đồ dùng ăn uống | Yếm cho bé | 1
Không xác định | Nước tẩy trang Senka | Hóa mỹ phẩm gia đình | Chăm sóc da | Tẩy trang | 2
Không xác định | Tã vải | Thời trang | Quần áo & Phụ kiện sơ sinh | Phụ kiện cho bé | 14
6M-12M | Dielac Alpha Step 2 | Sữa | Vinamilk | Dielac Alpha Gold | 2
Từ 0M | Sách vải | Đồ chơi & Sách | Sách & VPP | Sách | 4
Không xác định | Bàn chải 0-1Y | Babycare | Đồ dùng vệ sinh | Bàn chải | 10
Không xác định | Milo | Sữa nước | Sữa có vị | Nestle | 1
0-2M | Ty ngậm Mam | Babycare | "Bình sữa |  phụ kiện" | Ty ngậm | 5
Không xác định | Phấn rôm & phấn thơm Pureen | Hóa mỹ phẩm cho bé | Chăm sóc da bé | Phấn rôm & phấn thơm | 2
Không xác định | Wakodo | Thực phẩm cho bé | Đồ uống | Trà cho bé | 2
Không xác định | Hero lẻ 129k | Thời trang | Modal kháng khuẩn | Bộ Modal | 10
Từ 3Y | Meiji | Thực phẩm cho bé | Bánh & Kẹo cho bé | Bánh cho bé từ 2 tuổi | 2
Không xác định | Enfa C-sec Step 1 | Sữa | Enfa | Enfa C-sec | 2
Không xác định | Fristy | Sữa nước | Sữa chua uống | Friso ( Hà Lan ) | 2
Không xác định | Nature's Way Trio | TPCN | TPCN cho bé | DHA/Omega-3 | 1
0-12M | Nan A2 Step 1 | Sữa | Nestle | Nan A2 InfiniPro | 2
Từ 1Y | Áo khoác | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 8
Không xác định | Dalat Milk | Thực phẩm cho gia đình | TP từ sữa (bảo quản lạnh) | Sữa tươi thanh trùng | 5
Không xác định | Yumearth | Thực phẩm cho gia đình | Kẹo | Kẹo cứng | 1
6M-9M | Bodysuit cũ | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 46
2Y-6Y | Optimum Step 4 | Sữa | Vinamilk | Optimum | 3
2Y-6Y | Gối nằm cao su Đồng Phú | Textile | Gối | Gối nằm cao su | 2
6M-36M | Bộ đông bé gái dài | Thời trang | Thời trang đông | Bộ đông | 1
Từ 2Y | Bourbon | Thực phẩm cho gia đình | Bánh | Bánh bông lan & Pie | 1
7Y-8Y | Đầm | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 2
Không xác định | Meiwa | Thực phẩm cho gia đình | Thực phẩm đông lạnh | Phô mai que | 1
Không xác định | Vệ sinh mũi | Babycare | Đồ dùng vệ sinh | Vệ sinh cơ thể | 7
Không xác định | Ildong | TPCN | TPCN cho bé | Men vi sinh | 1
Từ 6M | Núm ty Aga-ae | Babycare | "Bình sữa |  phụ kiện" | Núm ty | 1
Từ 8M | Bebedang | Thực phẩm cho bé | Snack ăn dặm | Puff | 3
Từ 6M | Somen | Thực phẩm cho bé | Mì & Đồ khô ăn liền | Pasta & Somen | 3
Từ 2Y | Grow plus vàng Step 4 Specialty | Sữa | Nutifood | Grow plus vàng | 1
6M-6Y | Bộ bé trai Animo | Thời trang | Thời trang bé trai | Bộ bé trai | 30
Không xác định | Nature's Way | TPCN | TPCN cho mẹ | Vitamin mẹ bầu | 1
6M-12M | Hipp Step 2 | Sữa | Hipp | Hipp | 2
Không xác định | Goon Mommy Kiss_Tã Dán | Tã | Goon | Goon Mommy Kiss | 2
Từ 0M | Gadopax | TPCN | TPCN cho bé | Tăng cường hệ miễn dịch | 1
Không xác định | Nước rửa đa năng Babyganics | Hóa mỹ phẩm gia đình | Vệ sinh dụng cụ & bề mặt | Nước rửa đa năng | 1
Không xác định | Quần bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 94
Không xác định | Bodysuit bé trai đùi | Thời trang | Thời trang bé trai | Bodysuit bé trai | 66
Không xác định | C'est Bon | Thực phẩm cho gia đình | Bánh | Bánh bông lan & Pie | 2
Từ 3Y | Thú bông cầm tay | Đồ chơi & Sách | 0-1Y | Phát triển giác quan | 2
1Y-3Y | Wakodo Step 2 | Sữa | Wakodo | Wakodo | 2
Không xác định | Molfix_Tã quần Jumbo | Tã | Molfix | Molfix | 4
Không xác định | TH | Thực phẩm cho gia đình | Thực phẩm đông lạnh | Kem | 4
Không xác định | Kem trị rôm sảy Agrin | Hóa mỹ phẩm cho bé | Chăm sóc sức khỏe bé | Kem đặc trị | 1
Từ 1Y | Đồ chơi nhà tắm | Đồ chơi & Sách | 1Y+ | Đồ chơi nước | 1
Từ 3Y | Playmore | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo đồ chơi | 3
Không xác định | Vớ | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 77
Không xác định | Buona | TPCN | TPCN cho bé | Táo bón | 1
Từ 2Y | Quần short bé gái | Thời trang | Thời trang bé gái | Quần bé gái | 2
Từ 3Y | Bộ bé gái Animo Easy | Thời trang | Thời trang bé gái | Bộ bé gái | 63
Không xác định | Ghế ngồi ăn chân cao Kinderkraft | Babycare | Đồ dùng ăn uống | Ghế ngồi ăn | 2
Không xác định | Pororo | Thực phẩm cho bé | Bánh & Kẹo cho bé | Bánh cho bé từ 2 tuổi | 3
Từ 1Y | Đồ chơi phát nhạc | Đồ chơi & Sách | 0-1Y | Phát triển giác quan | 6
Không xác định | Gói Hội Viên 3 tháng Mass | Gói Hội Viên | Gói Hội Viên Mass | Gói Hội Viên Mass | 1
Không xác định | Caryn_Tã quần | Tã | Caryn | Caryn | 2
Không xác định | Bodysuit Chống muỗi set 2 | Thời trang | Modal kháng khuẩn | Bodysuit Modal | 56
Không xác định | Dầu Kim Agi | Hóa mỹ phẩm gia đình | Sức khỏe gia đình | Dầu gió | 1
Không xác định | Dầu Hướng dương | Thực phẩm cho gia đình | Dầu ăn & Gia vị | Dầu ăn | 1
9M-20M | Giày chút chít 229k S15 | Phụ kiện | Giày tập đi | Giày chút chít 179k | 5
Không xác định | Sữa tắm & thuốc tắm | Hóa mỹ phẩm gia đình | Chăm sóc mẹ trước & sau sinh | Vệ sinh & sức khỏe | 3
Không xác định | Fruit Me Up | Thực phẩm cho bé | Đồ uống | Nước ép trái cây cho bé | 5
Không xác định | Calbee | Thực phẩm cho gia đình | Mì & Đồ khô ăn liền | Ngũ cốc & Yến mạch | 2
Từ 3Y | Scooter 2 bánh/3 bánh | Đồ chơi & Sách | 1Y+ | Vận động ngoài trời | 3
Từ 3Y | Nhập vai bé gái | Đồ chơi & Sách | 1Y+ | Nhập vai | 51
Không xác định | Miếng dán hạ sốt - Byebye Fever | Hóa mỹ phẩm cho bé | Chăm sóc sức khỏe bé | Hạ sốt | 1
Từ 0M | Set 2 Nón sơ sinh | Thời trang | Quần áo & Phụ kiện sơ sinh | Phụ kiện cho bé | 4
0-6M | Bộ quần áo bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 1
0-36M | Kem đánh răng Splat | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Kem đánh răng | 1
Từ 3Y | Quần short bé trai | Thời trang | Thời trang bé trai | Quần bé trai | 4
Không xác định | Tắm gội toàn thân Carrie Junior | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Tắm gội cho bé | 2
Từ 8M | Pasta | Thực phẩm cho bé | Mì & Đồ khô ăn liền | Pasta & Somen | 2
Không xác định | Con bò cười | Thực phẩm cho bé | TP từ sữa (bảo quản lạnh) | Phô mai | 8
Không xác định | "Xe đẩy Aprica |  Joie" | Babycare | Đồ dùng ra ngoài | Xe đẩy | 19
Không xác định | Hipp | Thực phẩm cho bé | Thức ăn nghiền cho bé | Trái cây nghiền | 1
Không xác định | TH Milk | Sữa nước | Sữa tươi tiệt trùng | TH Milk | 12
Từ 9M | Đầm cũ | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 3
Không xác định | Pediasure Step 3 Specialty | Sữa | Abbott | Pediasure | 1
6M-9M | Bodysuit tam giác | Thời trang | Quần áo & Phụ kiện sơ sinh | Bodysuit | 1
Từ 9M | Quần sơ sinh | Thời trang | Cơ cấu hàng cũ | "Quần |  áo & phụ kiện sơ sinh cũ" | 61
Từ 18M | Xe mô hình/hoạt hình | Đồ chơi & Sách | 1Y+ | Phương tiện giao thông | 9
Không xác định | Meiji Step 3 | Sữa | Meiji | Meiji | 2
Không xác định | Hút sữa tay | Babycare | Thiết bị điện gia dụng | Hút sữa | 7
Từ 3M | Gặm nướu silicone Animo | Đồ chơi & Sách | 0-1Y | Gặm nướu | 12
Từ 9M | Bebecook | Thực phẩm cho bé | Snack ăn dặm | Rong biển | 1
Từ 1Y | Apaman | Thực phẩm cho bé | Mì & Đồ khô ăn liền | Mì & Miến ăn liền | 1
Không xác định | Dầu gội Tsubaki | Hóa mỹ phẩm gia đình | Chăm sóc tóc | Dầu gội | 3
4Y-5Y | Áo bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 2
0-6M | Ty ngậm Tommee Tippee | Babycare | "Bình sữa |  phụ kiện" | Ty ngậm | 4
Không xác định | Lee Kum Kee | Thực phẩm cho gia đình | Dầu ăn & Gia vị | Nước tương | 1
9M-24M | Quần sơ sinh | Thời trang | Cơ cấu hàng cũ | "Quần |  áo & phụ kiện sơ sinh cũ" | 2
1Y-6Y | "2-6Y Vòng tay |  vòng cổ" | Phụ kiện | Phụ kiện khác | "Vòng tay |  vòng cổ" | 13
Từ 6M | Maeil | Thực phẩm cho bé | Snack ăn dặm | Bánh gạo | 3
Không xác định | Thau/ Lưới tắm Animo | Babycare | Đồ dùng vệ sinh | Thau tắm/ Bô vệ sinh | 3
Không xác định | Even | Thực phẩm cho gia đình | TP từ sữa (bảo quản lạnh) | Bơ lạt | 1
Không xác định | Ty ngậm ConCung Good | Babycare | "Bình sữa |  phụ kiện" | Ty ngậm | 2
Từ 4M | Bellamy | Thực phẩm cho bé | Thức ăn nghiền cho bé | Trái cây nghiền | 2
0-36M | "Sách tương tác |  vừa học vừa chơi" | Đồ chơi & Sách | Sách & VPP | Sách | 4
Không xác định | Xe đẩy Animo | Babycare | Đồ dùng ra ngoài | Xe đẩy | 5
1Y-4Y | Bộ bé gái Animo | Thời trang | Thời trang bé gái | Bộ bé gái | 1
1Y-2Y | Colosbaby D3K2 Step 3 | Sữa | Vitadairy | Colosbaby D3K2 | 1
Không xác định | Khăn ướt bột giấy Huggies | Vệ sinh | Khăn ướt | Khăn ướt bột giấy | 4
Không xác định | Yếm ngừng bán | Babycare | Đồ dùng ăn uống | Đồ dùng ăn uống ngừng bán | 14
0-12M | Meiji nội địa Step 1 | Sữa | Meiji Nội địa | Meiji nội địa | 2
Từ 0M | Nước giặt Goongbe | Hóa mỹ phẩm cho bé | Giặt xả cho bé | Giặt cho bé | 1
2Y-3Y | Hộp quà | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 1
Không xác định | Moony_Tã Quần | Tã | Moony | Moony | 23
Từ 1Y | Vinamilk Organic Step 3 | Sữa | Vinamilk | Vinamilk Organic | 1
Từ 6Y | Nước súc miệng Listerine | Hóa mỹ phẩm gia đình | Chăm sóc răng miệng | Nước súc miệng | 1
Không xác định | Solgar | TPCN | TPCN cho mẹ | Tinh dầu hoa anh thảo | 1
Từ 1Y | Vinamilk | Sữa nước | Sữa tươi tiệt trùng | Vinamilk | 1
Không xác định | Playmore | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo dẻo | 9
Không xác định | Khăn mặt Luck Lady | Vệ sinh | Khăn khô | Khăn mặt | 1
6M-9M | Bộ Modal set 2 | Thời trang | Modal kháng khuẩn | Bộ Modal | 27
Không xác định | Meiji | Thực phẩm cho bé | TP từ sữa (bảo quản lạnh) | Sữa chua ăn | 4
Trên 6M | Heinz | Thực phẩm cho bé | Bột ăn dặm | Bột cho bé từ 6 tháng | 1
Không xác định | Nature's Way | TPCN | TPCN cho mẹ | Tinh dầu hoa anh thảo | 1
0-6M | Aptamil Hà Lan Step 1 | Sữa | Aptamil | Aptamil Hà Lan | 1
Không xác định | Áo ghile đông | Thời trang | Thời trang đông | "Áo |  Quần đông" | 22
0-6M | Ty ngậm Kuku | Babycare | "Bình sữa |  phụ kiện" | Ty ngậm | 2
Không xác định | Nước rửa bình sữa D-Nee | Hóa mỹ phẩm cho bé | Nước rửa bình sữa | Nước rửa bình sữa trong nước | 2
7Y-10Y | Popin Cookin | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo đồ chơi | 1
Không xác định | Buona | TPCN | TPCN cho bé | Sắt | 1
Từ 6M | Núm ty Olababy | Babycare | "Bình sữa |  phụ kiện" | Núm ty | 2
Không xác định | Orihiro | Thực phẩm cho bé | Đồ uống | Nước có thạch | 3
Không xác định | "Trị muỗi |  côn trùng Vương Tràm Hương" | Hóa mỹ phẩm cho bé | Chăm sóc sức khỏe bé | "Trị muỗi |  côn trùng" | 1
Từ 1Y | Áo sơ sinh | Thời trang | Cơ cấu hàng cũ | "Quần |  áo & phụ kiện sơ sinh cũ" | 77
9M-6Y | Quần short bé gái | Thời trang | Thời trang bé gái | Quần bé gái | 2
2Y-6Y | S26 Step 3 | Sữa | Nestle | S26 | 1
Không xác định | Khăn lau tóc Mollis | Textile | Khăn gia đình | Khăn lau tóc | 6
3Y-4Y | Vớ | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 6
18M-24M | Áo bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 4
Không xác định | "Tăm bông |  băng rốn" | Babycare | Đồ dùng vệ sinh | Vệ sinh cơ thể | 15
1Y-10Y | Pediasure Step 0 | Sữa | Abbott | Pediasure | 1
Không xác định | Núm ty Beanstalk | Babycare | "Bình sữa |  phụ kiện" | "Bình sữa |  phụ kiện ngừng bán" | 3
Không xác định | Fitolife | TPCN | TPCN cho bé | Vitamin C | 1
Không xác định | Kem đánh răng Splat | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Kem đánh răng | 1
Không xác định | Gumazing | TPCN | TPCN cho bé | Sắt | 1
Từ 7M | Ivenet | Thực phẩm cho bé | Snack ăn dặm | Bánh xốp | 1
Không xác định | Ghế ngồi ăn gỗ Autoru | Babycare | Đồ dùng ăn uống | Ghế ngồi ăn | 3
Từ 2Y | Đầm bé gái Animo | Thời trang | Thời trang bé gái | Đầm bé gái | 4
Từ 6M | Kem đánh răng Chicco | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Kem đánh răng | 1
Từ 3M | Áo bé gái | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 3
Từ 5Y | Áo bé gái Animo | Thời trang | Thời trang bé gái | Áo bé gái | 2
Từ 2Y | Xe đạp 2 bánh/3 bánh | Đồ chơi & Sách | 1Y+ | Vận động ngoài trời | 1
Từ 5M | Agusha | Thực phẩm cho bé | Thức ăn nghiền cho bé | Trái cây nghiền | 1
Từ 0M | Nệm mát/ Chiếu ngừng bán | Babycare | Bé ngủ | "Nệm mát |  Chiếu" | 1
Từ 1Y | Similac | Sữa nước | Sữa bột pha sẵn | Abbott | 4
Không xác định | Sahmyook | Sữa nước | Sữa hạt | Đậu nành | 2
Từ 6M | "Bình sữa |  phụ kiện khác" | Babycare | "Bình sữa |  phụ kiện" | "Bình sữa |  phụ kiện ngừng bán" | 1
Không xác định | Gối nằm cũ | Textile | Cơ cấu hàng tồn | Gối cũ | 24
Từ 6M | Bình tập uống Richell | Babycare | Đồ dùng ăn uống | Bình tập uống | 1
Không xác định | Dầu xả Selsun | Hóa mỹ phẩm gia đình | Chăm sóc tóc | Dầu xả | 1
Mẹ | Anmum | Sữa | Anmum | Anmum | 2
4Y-5Y | Đầm bé gái Animo | Thời trang | Thời trang bé gái | Đầm bé gái | 33
Từ 9M | Hạt nêm | Thực phẩm cho bé | Dầu ăn & Gia vị | Hạt nêm & Dashi | 1
